Año,Trimestre,Provincia,Numero_denuncias
2009,Primero,Almería,679
2009,Primero,Cádiz,811
2009,Primero,Córdoba,354
2009,Primero,Granada,1029
2009,Primero,Huelva,583
2009,Primero,Jaén,440
2009,Primero,Málaga,1665
2009,Primero,Sevilla,1091
2009,Primero,Huesca,91
2009,Primero,Teruel,39
2009,Primero,Zaragoza,565
2009,Primero,Asturias,529
2009,Primero,Illes Balears,1142
2009,Primero,Las Palmas,1222
2009,Primero,Santa Cruz de Tenerife,873
2009,Primero,Cantabria,280
2009,Primero,Ávila,118
2009,Primero,Burgos,234
2009,Primero,León,239
2009,Primero,Palencia,80
2009,Primero,Salamanca,156
2009,Primero,Segovia,64
2009,Primero,Soria,43
2009,Primero,Valladolid,453
2009,Primero,Zamora,70
2009,Primero,Albacete,246
2009,Primero,Ciudad Real,265
2009,Primero,Cuenca,98
2009,Primero,Guadalajara,319
2009,Primero,Toledo,350
2009,Primero,Barcelona,2994
2009,Primero,Girona,522
2009,Primero,Lleida,229
2009,Primero,Tarragona,643
2009,Primero,Alicante/Alacant,1895
2009,Primero,Castellón/Castelló,338
2009,Primero,Valencia/València,2532
2009,Primero,Badajoz,253
2009,Primero,Cáceres,216
2009,Primero,A Coruña,528
2009,Primero,Lugo,135
2009,Primero,Ourense,198
2009,Primero,Pontevedra,560
2009,Primero,Madrid,5429
2009,Primero,Murcia,1388
2009,Primero,Navarra,258
2009,Primero,Araba/Álava,191
2009,Primero,Gipuzkoa,310
2009,Primero,Bizkaia,527
2009,Primero,La Rioja,232
2009,Primero,Ceuta,64
2009,Primero,Melilla,85
2009,Segundo,Almería,715
2009,Segundo,Cádiz,924
2009,Segundo,Córdoba,348
2009,Segundo,Granada,1030
2009,Segundo,Huelva,612
2009,Segundo,Jaén,398
2009,Segundo,Málaga,1131
2009,Segundo,Sevilla,1563
2009,Segundo,Huesca,94
2009,Segundo,Teruel,43
2009,Segundo,Zaragoza,605
2009,Segundo,Asturias,643
