"Año","Trimestre","Provincia","Número de denuncias por violencia de género"
"Año 2009","Primero","Almería","679.0"
"Año 2009","Primero","Cádiz","811.0"
"Año 2009","Primero","Córdoba","354.0"
"Año 2009","Primero","Granada","1029.0"
"Año 2009","Primero","Huelva","583.0"
"Año 2009","Primero","Jaén","440.0"
"Año 2009","Primero","Málaga","1665.0"
"Año 2009","Primero","Sevilla","1091.0"
"Año 2009","Primero","Huesca","91.0"
"Año 2009","Primero","Teruel","39.0"
"Año 2009","Primero","Zaragoza","565.0"
"Año 2009","Primero","Asturias","529.0"
"Año 2009","Primero","Illes Balears","1142.0"
"Año 2009","Primero","Las Palmas","1222.0"
"Año 2009","Primero","Santa Cruz de Tenerife","873.0"
"Año 2009","Primero","Cantabria","280.0"
"Año 2009","Primero","Ávila","118.0"
"Año 2009","Primero","Burgos","234.0"
"Año 2009","Primero","León","239.0"
"Año 2009","Primero","Palencia","80.0"
"Año 2009","Primero","Salamanca","156.0"
"Año 2009","Primero","Segovia","64.0"
"Año 2009","Primero","Soria","43.0"
"Año 2009","Primero","Valladolid","453.0"
"Año 2009","Primero","Zamora","70.0"
"Año 2009","Primero","Albacete","246.0"
"Año 2009","Primero","Ciudad Real","265.0"
"Año 2009","Primero","Cuenca","98.0"
"Año 2009","Primero","Guadalajara","319.0"
"Año 2009","Primero","Toledo","350.0"
"Año 2009","Primero","Barcelona","2994.0"
"Año 2009","Primero","Girona","522.0"
"Año 2009","Primero","Lleida","229.0"
"Año 2009","Primero","Tarragona","643.0"
"Año 2009","Primero","Alicante/Alacant","1895.0"
"Año 2009","Primero","Castellón/Castelló","338.0"
"Año 2009","Primero","Valencia/València","2532.0"
"Año 2009","Primero","Badajoz","253.0"
"Año 2009","Primero","Cáceres","216.0"
"Año 2009","Primero","A Coruña","528.0"
"Año 2009","Primero","Lugo","135.0"
"Año 2009","Primero","Ourense","198.0"
"Año 2009","Primero","Pontevedra","560.0"
"Año 2009","Primero","Madrid","5429.0"
"Año 2009","Primero","Murcia","1388.0"
"Año 2009","Primero","Navarra","258.0"
"Año 2009","Primero","Araba/Álava","191.0"
"Año 2009","Primero","Gipuzkoa","310.0"
"Año 2009","Primero","Bizkaia","527.0"
"Año 2009","Primero","La Rioja","232.0"
"Año 2009","Primero","Ceuta","64.0"
"Año 2009","Primero","Melilla","85.0"
"Año 2009","Segundo","Almería","715.0"
"Año 2009","Segundo","Cádiz","924.0"
"Año 2009","Segundo","Córdoba","348.0"
"Año 2009","Segundo","Granada","1030.0"
"Año 2009","Segundo","Huelva","612.0"
"Año 2009","Segundo","Jaén","398.0"
"Año 2009","Segundo","Málaga","1131.0"
"Año 2009","Segundo","Sevilla","1563.0"
"Año 2009","Segundo","Huesca","94.0"
"Año 2009","Segundo","Teruel","43.0"
"Año 2009","Segundo","Zaragoza","605.0"
"Año 2009","Segundo","Asturias","643.0"
"Año 2009","Segundo","Illes Balears","1092.0"
"Año 2009","Segundo","Las Palmas","1298.0"
"Año 2009","Segundo","Santa Cruz de Tenerife","1028.0"
"Año 2009","Segundo","Cantabria","273.0"
"Año 2009","Segundo","Ávila","111.0"
"Año 2009","Segundo","Burgos","164.0"
"Año 2009","Segundo","León","285.0"
"Año 2009","Segundo","Palencia","73.0"
"Año 2009","Segundo","Salamanca","137.0"
"Año 2009","Segundo","Segovia","72.0"
"Año 2009","Segundo","Soria","58.0"
"Año 2009","Segundo","Valladolid","476.0"
"Año 2009","Segundo","Zamora","84.0"
